Rank,Player,TOP,FG,FGA,FGP,3P,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PTS,VORP,adj_FG,adj_FT,zFG,zFT,z3P,zPTS,zREB,zAST,zSTL,zBLK,zTOV,zAVG
1,Kevin Durant,1,8.9,16.5,0.537,1.9,5.4,6.2,0.875,8.3,4.8,1.1,1.6,2.2,25.1,5.2,0.483311,0.7956621,1.806973935,1.328086608,0.751376102,1.649526799,0.904578047,0.730435368,0.148779138,1.708681999,-0.514479502,0.945995388
2,Anthony Davis,1,10.3,20.3,0.505,0.5,6.9,8.6,0.802,11.8,2.1,1.3,2.2,2.4,28,3.9,0.479955061,0.786099138,1.084564782,0.40913984,-0.763025344,2.092707816,2.213684317,-0.43653238,0.664546817,2.841991487,-0.732692668,0.819376074
3,Stephen Curry,1,8.5,18.3,0.468,4.1,4.1,4.6,0.898,4.5,6.6,1.8,0.2,3,25.3,6.2,0.473396589,0.794968304,-0.327231169,1.261416708,3.131149804,1.680091007,-0.516737332,1.508413867,1.953966015,-0.935706809,-1.387332165,0.707558881
4,Giannis Antetokounmpo,1,8.2,15.7,0.521,0.6,5.9,7.7,0.77,8.8,5.4,1.6,1.9,2.9,22.9,6.9,0.480814025,0.779123097,1.269467725,-0.261218382,-0.654853812,1.31332051,1.091593228,0.989761534,1.438198336,2.275336743,-1.278225582,0.687042256
5,Kawhi Leonard,1,8.6,17.7,0.485,2,6.3,7.2,0.88,5.8,3.5,1.8,0.7,2.1,25.5,6.2,0.476408833,0.798180468,0.321193299,1.570087515,0.859547634,1.710655215,-0.03049786,0.168562008,1.953966015,0.008717765,-0.405372919,0.684095408
6,Karl-Anthony Towns,1,9.8,18,0.542,1.2,4.3,5.2,0.832,12.3,2.7,0.7,1.3,2.6,25.1,5.3,0.484680672,0.787943816,2.101813454,0.586402984,-0.005824621,1.649526799,2.400699498,-0.177206214,-0.88275622,1.142027254,-0.950905833,0.651530789
7,James Harden,1,8.3,18.9,0.44,3.2,9.2,10.9,0.847,8.1,11.2,1.5,0.5,5.7,29.1,9,0.469635386,0.79700017,-1.136878815,1.456667588,2.157606017,2.26081096,0.829771974,3.49658114,1.180314497,-0.369052064,-4.333209901,0.615845711
8,Chris Paul,1,6.1,12.9,0.476,2,3.8,4.3,0.892,5,9.2,2,0.1,2.4,18.1,5.3,0.474670846,0.793371931,-0.052930799,1.108014193,0.859547634,0.579779516,-0.329722151,2.632160587,2.469733694,-1.124591724,-0.732692668,0.601033143
9,Russell Westbrook,1,10.2,24,0.425,2.5,8.8,10.4,0.845,10.7,10.4,1.6,0.4,5.4,31.6,12.4,0.465934571,0.796966563,-1.933526883,1.453438126,1.400405293,2.642863561,1.802250918,3.150812919,1.438198336,-0.557936979,-4.005890152,0.598957238
10,Jimmy Butler,1,7.5,16.5,0.455,1.2,7.7,8.9,0.865,6.2,5.5,1.9,0.4,2.1,23.9,6.3,0.472225606,0.799179597,-0.579300381,1.666098182,-0.005824621,1.46614155,0.119114285,1.032982562,2.211849855,-0.557936979,-0.405372919,0.54975017
11,Isaiah Thomas,1,9,19.4,0.463,3.2,7.8,8.5,0.909,2.7,5.9,0.9,0.2,2.8,28.9,4.8,0.473236082,0.8090009,-0.361782339,2.609870028,2.157606017,2.230246752,-1.189991985,1.205866673,-0.366988541,-0.935706809,-1.169118999,0.464444533
12,DeMarcus Cousins,1,9,19.9,0.452,1.8,7.2,9.3,0.772,11,4.6,1.4,1.3,3.7,27,5.3,0.471411625,0.780349885,-0.754520287,-0.14333093,0.64320457,1.939886776,1.914460026,0.643993313,0.922430657,1.142027254,-2.151078244,0.461897015
13,Kyle Lowry,1,7.1,15.3,0.464,3.2,5,6.1,0.819,4.8,7,1.5,0.3,2.9,22.4,4.9,0.473557988,0.787716956,-0.29248796,0.564603027,2.157606017,1.23690999,-0.404528223,1.681297977,1.180314497,-0.746821894,-1.278225582,0.455407539
14,Paul George,1,8.3,18,0.461,2.6,4.5,5,0.898,6.6,3.3,1.6,0.4,2.9,23.7,3.2,0.472942876,0.797058824,-0.424898742,1.462303818,1.508576825,1.435577342,0.26872643,0.082119953,1.438198336,-0.557936979,-1.278225582,0.437160156
15,LeBron James,1,9.9,18.2,0.548,1.7,4.8,7.2,0.674,8.6,8.7,1.2,0.6,4.1,26.4,7.3,0.48470461,0.761975492,2.106966394,-1.909006485,0.535033038,1.848194151,1.016787156,2.416055448,0.406662978,-0.18016715,-2.587504576,0.405891217
16,Nikola Jokic,1,6.8,11.7,0.578,0.6,2.6,3.1,0.825,9.8,4.9,0.8,0.8,2.3,16.7,5.3,0.485120932,0.786729858,2.196585159,0.469748465,-0.654853812,0.36583006,1.465623591,0.773656396,-0.624872381,0.19760268,-0.623586085,0.396192675
17,Rudy Gobert,1,5.1,7.7,0.661,0,3.8,5.9,0.653,12.8,1.2,0.6,2.6,1.8,14,5.4,0.487167736,0.761740464,2.637186173,-1.931591364,-1.303883003,-0.046786749,2.58771468,-0.825521629,-1.14064006,3.597531147,-0.078053171,0.388439558
18,Draymond Green,1,3.6,8.6,0.418,1.1,2,2.8,0.709,7.9,7,2,1.4,2.4,10.2,4.6,0.47079462,0.776900706,-0.887338568,-0.474777567,-0.113996153,-0.627506703,0.754965902,1.681297977,2.469733694,1.330912169,-0.732692668,0.377844232
19,Damian Lillard,1,8.8,19.8,0.444,2.9,6.5,7.3,0.895,4.9,5.9,0.9,0.3,2.6,27,4.3,0.470232089,0.801074273,-1.008430727,1.848165868,1.833091421,1.939886776,-0.367125187,1.205866673,-0.366988541,-0.746821894,-0.950905833,0.376304284
20,Kyrie Irving,1,9.3,19.7,0.473,2.5,4.1,4.6,0.905,3.2,5.8,1.2,0.3,2.5,25.2,2.9,0.474456457,0.794968304,-0.09908085,1.261416708,1.400405293,1.664808903,-1.002976804,1.162645645,0.406662978,-0.746821894,-0.841799251,0.356140081
21,John Wall,1,8.3,18.4,0.451,1.1,5.4,6.8,0.801,4.2,10.7,2,0.6,4.1,23.1,4.3,0.471467147,0.784026997,-0.742568552,0.210018747,-0.113996153,1.343884718,-0.628946441,3.280476002,2.469733694,-0.18016715,-2.587504576,0.338992254
22,Otto Porter,1,5.2,10,0.516,1.9,1.2,1.5,0.832,6.4,1.5,1.5,0.5,0.6,13.4,3.9,0.478648944,0.78277718,0.803406046,0.089918395,0.751376102,-0.138479374,0.193920357,-0.695858546,1.180314497,-0.369052064,1.231225823,0.338530137
23,Mike Conley,1,6.7,14.6,0.46,2.5,4.6,5.3,0.859,3.5,6.3,1.3,0.3,2.3,20.5,4.5,0.473007235,0.793539599,-0.411044611,1.124126202,1.400405293,0.946550013,-0.890767695,1.378750783,0.664546817,-0.746821894,-0.623586085,0.315795425
24,Myles Turner,1,5.5,10.7,0.511,0.5,3,3.7,0.809,7.3,1.3,0.9,2.1,1.3,14.5,2.8,0.478358018,0.784830663,0.740780616,0.287246568,-0.763025344,0.029623771,0.530547684,-0.782300601,-0.366988541,2.653106573,0.467479743,0.310718941
25,Hassan Whiteside,1,7,12.6,0.557,0,2.9,4.6,0.628,14.1,0.7,0.7,2.1,2,17,0.9,0.483187732,0.764064976,1.780438827,-1.708218836,-1.303883003,0.411676372,3.073954151,-1.041626767,-0.88275622,2.653106573,-0.296266336,0.29849164
26,Marc Gasol,1,7.2,15.7,0.459,1.4,3.8,4.5,0.837,6.3,4.6,0.9,1.3,2.2,19.5,4,0.472845409,0.789275074,-0.445879818,0.714329432,0.210518443,0.793728973,0.156517321,0.643993313,-0.366988541,1.142027254,-0.514479502,0.25930743
27,Kemba Walker,1,8.1,18.3,0.444,3,3.8,4.5,0.847,3.9,5.5,1.1,0.3,2.1,23.2,3.9,0.470273841,0.789275074,-0.999443031,0.714329432,1.941262953,1.359166822,-0.74115555,1.032982562,0.148779138,-0.746821894,-0.405372919,0.255969724
28,Bradley Beal,1,8.3,17.2,0.482,2.9,3.7,4.4,0.825,3.1,3.5,1.1,0.3,2,23.1,2.8,0.475922224,0.78872959,0.216444452,0.661911431,1.833091421,1.343884718,-1.04037984,0.168562008,0.148779138,-0.746821894,-0.296266336,0.254356122
29,Kevin Love,1,6.2,14.5,0.427,2.4,4.3,4.9,0.871,11.1,1.9,0.9,0.4,2,19,1.3,0.46936502,0.793984667,-1.195078399,1.166894693,1.292233762,0.717318453,1.951863063,-0.522974435,-0.366988541,-0.557936979,-0.296266336,0.243229476
30,CJ McCollum,1,8.7,18,0.48,2.3,3.4,3.7,0.912,3.6,3.6,0.9,0.5,2.2,23,2.1,0.476072955,0.795376191,0.248891177,1.300612364,1.18406223,1.328602614,-0.853364659,0.211783036,-0.366988541,-0.369052064,-0.514479502,0.241118517
31,Klay Thompson,1,8.3,17.6,0.468,3.4,2.4,2.8,0.853,3.7,2.1,0.8,0.5,1.6,22.3,1.5,0.474427873,0.787702534,-0.105234024,0.563217187,2.37394908,1.221627886,-0.815961622,-0.43653238,-0.624872381,-0.369052064,0.140159995,0.216366853
32,Joel Embiid,1,6.5,13.8,0.466,1.2,6.2,7.9,0.783,7.8,2.1,0.9,2.5,3.8,20.2,1,0.474450738,0.782545189,-0.100312075,0.067625388,-0.005824621,0.900703701,0.717562865,-0.43653238,-0.366988541,3.408646232,-2.260184827,0.213855083
33,Rudy Gay,0,6.7,14.7,0.455,1.4,3.9,4.6,0.855,6.3,2.8,1.5,0.9,2.5,18.7,0.7,0.472627286,0.78981775,-0.492833535,0.766477451,0.210518443,0.671472141,0.156517321,-0.133985186,1.180314497,0.386487595,-0.841799251,0.211463275
34,Gordon Hayward,1,7.5,15.8,0.471,2,5,5.9,0.844,5.4,3.5,1,0.3,1.9,21.9,4,0.474857598,0.791642707,-0.012730137,0.94184552,0.859547634,1.16049947,-0.180110005,0.168562008,-0.109104701,-0.746821894,-0.187159754,0.210503127
35,Al Horford,1,5.6,11.8,0.473,1.3,1.6,2,0.8,6.8,5,0.8,1.3,1.7,14,2.8,0.474852913,0.783014862,-0.013738552,0.112758317,0.102346911,-0.046786749,0.343532502,0.816877423,-0.624872381,1.142027254,0.031053412,0.207022015
36,Kristaps Porzingis,1,6.7,14.9,0.45,1.7,3,3.8,0.786,7.2,1.5,0.7,2,1.8,18.1,1.2,0.471869217,0.78276699,-0.656017828,0.088939244,0.535033038,0.579779516,0.493144648,-0.695858546,-0.88275622,2.464221658,-0.078053171,0.205381371
37,Robert Covington,1,4.4,10.9,0.399,2,2.1,2.6,0.822,6.5,1.5,1.9,1,2,12.9,1.8,0.468451243,0.783834586,-1.391780834,0.191529216,0.859547634,-0.214889894,0.231323394,-0.695858546,2.211849855,0.57537251,-0.296266336,0.163425222
38,Serge Ibaka,1,6,12.4,0.48,1.6,1.4,1.6,0.856,6.8,0.9,0.5,1.6,1.3,14.8,1,0.475794775,0.786174324,0.189009344,0.416364773,0.426861507,0.075470083,0.343532502,-0.955184712,-1.398523899,1.708681999,0.467479743,0.14152126
39,Trevor Ariza,1,4.1,10,0.409,2.4,1.2,1.6,0.738,5.7,2.2,1.8,0.3,0.9,11.7,2.6,0.469466384,0.780592529,-1.173258552,-0.120014225,1.292233762,-0.398275142,-0.067900897,-0.393311352,1.953966015,-0.746821894,0.903906075,0.138947088
40,Eric Bledsoe,1,6.8,15.7,0.434,1.6,5.9,6.9,0.847,4.8,6.3,1.4,0.5,3.4,21.1,2.9,0.469657962,0.794277165,-1.132018835,1.195002098,0.426861507,1.038242637,-0.404528223,1.378750783,0.922430657,-0.369052064,-1.823758496,0.136881118
41,DeAndre Jordan,1,5.1,7.1,0.714,0,2.5,5.2,0.482,13.8,1.2,0.6,1.7,1.4,12.7,3.9,0.489668334,0.742294187,3.17547215,-3.800268951,-1.303883003,-0.245454102,2.961745042,-0.825521629,-1.14064006,1.897566913,0.358373161,0.119709947
42,Brook Lopez,1,7.4,15.6,0.474,1.8,3.9,4.9,0.81,5.4,2.3,0.5,1.7,2.5,20.5,2,0.474817496,0.783762532,-0.021362607,0.184605182,0.64320457,0.946550013,-0.180110005,-0.350090324,-1.398523899,1.897566913,-0.841799251,0.097782288
43,Gorgui Dieng,1,4,8.1,0.502,0.2,1.7,2,0.814,7.9,1.9,1.1,1.2,1.3,10,2.5,0.476184262,0.785774947,0.272851474,0.377986913,-1.08753994,-0.658070911,0.754965902,-0.522974435,0.148779138,0.953142339,0.467479743,0.078513358
44,Paul Millsap,1,6.2,14.1,0.442,1.1,4.5,5.9,0.768,7.7,3.7,1.3,0.9,2.3,18.1,2.7,0.470880417,0.779183439,-0.868869654,-0.255419849,-0.113996153,0.579779516,0.680159829,0.255004063,0.664546817,0.386487595,-0.623586085,0.078234009
45,Blake Griffin,1,7.9,15.9,0.493,0.6,5.2,6.9,0.76,8.1,4.9,0.9,0.4,2.3,21.6,3.4,0.477662179,0.777258276,0.590992133,-0.440417164,-0.654853812,1.114653158,0.829771974,0.773656396,-0.366988541,-0.557936979,-0.623586085,0.073921231
46,DeMar DeRozan,1,9.7,20.9,0.467,0.4,7.4,8.7,0.842,5.2,3.9,1.1,0.2,2.4,27.3,1.9,0.473160683,0.795914711,-0.378013036,1.352361021,-0.871196876,1.985733088,-0.254916078,0.341446119,0.148779138,-0.935706809,-0.732692668,0.072865989
47,Jeff Teague,1,4.9,11.1,0.442,1.1,4.4,5.1,0.867,4,7.8,1.2,0.4,2.6,15.3,2.6,0.471812166,0.792489732,-0.668298705,1.023239895,-0.113996153,0.151880603,-0.703752513,2.027066199,0.406662978,-0.557936979,-0.950905833,0.068217721
48,Ricky Rubio,1,3.5,8.7,0.402,0.8,3.4,3.8,0.891,4.1,9.1,1.7,0.1,2.6,11.1,1.7,0.469553363,0.79328479,-1.154535277,1.099640446,-0.438510748,-0.489967766,-0.666349477,2.588939559,1.696082176,-1.124591724,-0.950905833,0.062200151
49,Jrue Holiday,1,6,13.3,0.454,1.5,1.8,2.5,0.708,3.9,7.3,1.5,0.7,2.9,15.4,2,0.472315961,0.777801047,-0.559850416,-0.388259889,0.318689975,0.167162707,-0.74115555,1.81096106,1.180314497,0.008717765,-1.278225582,0.057594952
50,Nikola Vucevic,1,6.4,13.7,0.468,0.3,1.4,2.1,0.669,10.4,2.8,1,1,1.6,14.6,1.6,0.474025165,0.775354647,-0.191922048,-0.623345099,-0.979368408,0.044905875,1.690041809,-0.133985186,-0.109104701,0.57537251,0.140159995,0.045861639
51,Jae Crowder,1,4.6,10,0.463,2.2,2.4,3,0.811,5.8,2.2,1,0.3,1.1,13.9,2.1,0.473640275,0.783471074,-0.274774644,0.156597754,1.075890698,-0.062068853,-0.03049786,-0.393311352,-0.109104701,-0.746821894,0.685692909,0.03351134
52,Danilo Gallinari,1,5.3,11.9,0.447,2,5.5,6.1,0.902,5.2,2.1,0.6,0.2,1.3,18.2,1.5,0.471997472,0.800114438,-0.628409278,1.755931165,0.859547634,0.59506162,-0.254916078,-0.43653238,-1.14064006,-0.935706809,0.467479743,0.03131284
53,Patrick Beverley,1,3.4,8.1,0.42,1.6,1.1,1.4,0.768,5.9,4.2,1.5,0.4,1.5,9.5,2.3,0.471094871,0.78216753,-0.822705611,0.031334512,0.426861507,-0.734481431,0.006905176,0.471109202,1.180314497,-0.557936979,0.249266578,0.027851939
54,Jabari Parker,1,7.8,16,0.49,1.3,3.2,4.3,0.743,6.2,2.8,1,0.4,1.8,20.1,1,0.476487495,0.77779996,0.338126212,-0.388364348,0.102346911,0.885421597,0.119114285,-0.133985186,-0.109104701,-0.557936979,-0.078053171,0.019729402
55,Nicolas Batum,1,5.1,12.7,0.403,1.8,3.2,3.7,0.856,6.2,5.9,1.1,0.4,2.5,15.1,2.1,0.46728209,0.790103427,-1.643456103,0.793929466,0.64320457,0.121316395,0.119114285,1.205866673,0.148779138,-0.557936979,-0.841799251,-0.001220201
56,Goran Dragic,1,7.3,15.4,0.475,1.6,4.1,5.2,0.79,3.8,5.8,1.2,0.2,2.9,20.3,2.9,0.474777266,0.782871635,-0.030022659,0.098994992,0.426861507,0.915985805,-0.778558586,1.162645645,0.406662978,-0.935706809,-1.278225582,-0.001262523
57,LaMarcus Aldridge,1,6.9,14.6,0.477,0.3,3.1,3.8,0.812,7.3,1.9,0.6,1.2,1.4,17.3,1.8,0.474615052,0.78539644,-0.064941342,0.341614545,-0.979368408,0.457522684,0.530547684,-0.522974435,-1.14064006,0.953142339,0.358373161,-0.007413759
58,Carmelo Anthony,0,8.1,18.8,0.433,2,4.1,4.9,0.833,5.9,2.9,0.8,0.5,2.1,22.4,0.8,0.468445295,0.788873599,-1.393061136,0.675749938,0.859547634,1.23690999,0.006905176,-0.090764158,-0.624872381,-0.369052064,-0.405372919,-0.011556658
59,George Hill,1,5.9,12.4,0.477,1.9,3.2,4,0.801,3.4,4.2,1,0.2,1.7,16.9,2.2,0.474976393,0.783903421,0.012842018,0.19814378,0.751376102,0.396394268,-0.928170731,0.471109202,-0.109104701,-0.935706809,0.031053412,-0.012451495
60,Zach LaVine,0,6.9,15.1,0.459,2.6,2.5,3,0.836,3.4,3,0.9,0.2,1.8,18.9,0.8,0.472714954,0.786157025,-0.473961819,0.414702441,1.508576825,0.702036349,-0.928170731,-0.04754313,-0.366988541,-0.935706809,-0.078053171,-0.022789843
61,Avery Bradley,0,6.5,14.1,0.463,2,1.2,1.7,0.731,6.1,2.2,1.2,0.2,1.6,16.3,0.7,0.473301875,0.778420039,-0.347619564,-0.328778305,0.859547634,0.304701644,0.081711248,-0.393311352,0.406662978,-0.935706809,0.140159995,-0.023625837
62,Gary Harris,1,5.6,11.2,0.502,1.9,1.8,2.4,0.776,3.1,2.9,1.2,0.1,1.3,14.9,1.6,0.477207706,0.779924402,0.493160906,-0.184217507,0.751376102,0.090752187,-1.04037984,-0.090764158,0.406662978,-1.124591724,0.467479743,-0.025613479
63,Khris Middleton,0,5.2,11.5,0.45,1.6,2.8,3.2,0.88,4.2,3.4,1.4,0.2,2.2,14.7,0.3,0.472729579,0.789971229,-0.470813713,0.781225949,0.426861507,0.060187979,-0.628946441,0.12534098,0.922430657,-0.935706809,-0.514479502,-0.025988821
64,Nerlens Noel,1,3.6,6.1,0.595,0,1.5,2.2,0.694,5.8,1,1.3,1,1,8.7,1.4,0.480950485,0.775971284,1.298842453,-0.564089826,-1.303883003,-0.856738263,-0.03049786,-0.911963684,0.664546817,0.57537251,0.794799492,-0.03706793
65,T.J. Warren,1,6.1,12.3,0.495,0.4,1.8,2.3,0.773,5.1,1.1,1.2,0.6,0.9,14.4,0.9,0.477003528,0.782059381,0.449209107,0.020941974,-0.871196876,0.014341667,-0.292319114,-0.868742657,0.406662978,-0.18016715,0.903906075,-0.046373777
66,Jonas Valanciunas,0,4.9,8.8,0.557,0,2.2,2.7,0.811,9.5,0.7,0.5,0.8,1.3,12,0.7,0.480962574,0.784419913,1.30144482,0.247775748,-1.303883003,-0.35242883,1.353414482,-1.041626767,-1.398523899,0.19760268,0.467479743,-0.058749447
67,Tyson Chandler,0,3.3,4.9,0.671,0,1.9,2.6,0.734,11.5,0.6,0.7,0.5,1.4,8.4,0.5,0.483366868,0.778404344,1.819000191,-0.330286442,-1.303883003,-0.902584575,2.101475208,-1.084847795,-0.88275622,-0.369052064,0.358373161,-0.066062394
68,Dwight Howard,1,5.2,8.3,0.633,0,3.1,5.7,0.533,12.7,1.4,0.9,1.2,2.3,13.5,2.4,0.485539343,0.748025429,2.286653621,-3.249528904,-1.303883003,-0.123197269,2.550311643,-0.739079574,-0.366988541,0.953142339,-0.623586085,-0.068461753
69,Jeremy Lin,1,4.9,11.1,0.438,1.6,3.2,3.9,0.816,3.8,5.1,1.2,0.4,2.4,14.5,0.9,0.471812166,0.78595925,-0.668298705,0.395697355,0.426861507,0.029623771,-0.778558586,0.860098451,0.406662978,-0.557936979,-0.732692668,-0.068726986
70,Markieff Morris,0,5.3,11.7,0.457,0.9,2.4,2.8,0.837,6.5,1.7,1.1,0.6,1.7,14,0.6,0.472774471,0.787702534,-0.461150039,0.563217187,-0.330339217,-0.046786749,0.231323394,-0.60941649,0.148779138,-0.18016715,0.031053412,-0.072609613
71,Andre Drummond,1,6,11.2,0.53,0,1.7,4.4,0.386,13.8,1.1,1.5,1.1,1.9,13.6,1.8,0.480513701,0.736957387,1.204819112,-4.313105238,-1.303883003,-0.107915165,2.961745042,-0.868742657,1.180314497,0.764257425,-0.187159754,-0.074407749
72,Thaddeus Young,1,4.9,9.3,0.527,0.6,0.6,1.2,0.523,6.1,1.6,1.5,0.4,1.3,11,1.9,0.478943289,0.77247069,0.866767674,-0.900477108,-0.654853812,-0.50524987,0.081711248,-0.652637518,1.180314497,-0.557936979,0.467479743,-0.074986903
73,Marvin Williams,1,3.9,9.3,0.422,1.6,1.7,2,0.873,6.6,1.4,0.8,0.7,0.8,11.2,1.3,0.470546441,0.785774947,-0.940762348,0.377986913,0.426861507,-0.474685662,0.26872643,-0.739079574,-0.624872381,0.008717765,1.013012657,-0.076010521
74,Lou Williams,1,5.3,12.3,0.429,2,5,5.6,0.88,2.5,3,1,0.2,2,17.5,1.4,0.470451109,0.797605253,-0.961283827,1.514812608,0.859547634,0.488086892,-1.264798058,-0.04754313,-0.109104701,-0.935706809,-0.296266336,-0.08358397
75,Michael Kidd-Gilchrist,1,3.6,7.6,0.477,0,1.9,2.4,0.784,7,1.4,1,1,0.7,9.2,1.3,0.474805059,0.782654347,-0.024039878,0.078114851,-1.303883003,-0.780327743,0.418338575,-0.739079574,-0.109104701,0.57537251,1.12211924,-0.08472108
76,Tyler Johnson,1,4.9,11.3,0.433,1.3,2.7,3.5,0.768,4,3.2,1.2,0.6,1.2,13.7,1.9,0.471032906,0.781039755,-0.836044563,-0.077038293,0.102346911,-0.092633061,-0.703752513,0.038898925,0.406662978,-0.18016715,0.576586326,-0.085015604
77,Dwyane Wade,1,6.9,15.9,0.434,0.8,3.7,4.7,0.794,4.5,3.8,1.4,0.7,2.3,18.3,1.3,0.469706242,0.78265165,-1.12162597,0.07785568,-0.438510748,0.610343724,-0.516737332,0.298225091,0.922430657,0.008717765,-0.623586085,-0.086987469
78,Clint Capela,1,5.6,8.7,0.643,0,1.4,2.7,0.531,8.1,1,0.5,1.2,1.3,12.6,1.1,0.487276032,0.762757759,2.660498324,-1.833835059,-1.303883003,-0.260736206,0.829771974,-0.911963684,-1.398523899,0.953142339,0.467479743,-0.088672163
79,Dirk Nowitzki,0,5.5,12.6,0.437,1.5,1.8,2.1,0.875,6.5,1.5,0.6,0.7,0.9,14.2,0.2,0.47093206,0.786364599,-0.857752972,0.43464913,0.318689975,-0.016222541,0.231323394,-0.695858546,-1.14064006,0.008717765,0.903906075,-0.090354198
80,Marcin Gortat,1,4.8,8.2,0.579,0,1.3,1.9,0.648,10.4,1.5,0.5,0.7,1.5,10.8,1.5,0.482560793,0.776878859,1.645482105,-0.476876981,-1.303883003,-0.535814079,1.690041809,-0.695858546,-1.398523899,0.008717765,0.249266578,-0.090827584
81,Tobias Harris,1,6.2,13,0.481,1.3,2.3,2.8,0.841,5.1,1.7,0.7,0.5,1.2,16.1,2,0.475098666,0.785002077,0.039162827,0.303718498,0.102346911,0.274137436,-0.292319114,-0.60941649,-0.88275622,-0.369052064,0.576586326,-0.095287988
82,Seth Curry,1,4.8,10,0.481,2,1.2,1.4,0.85,2.6,2.7,1.1,0.1,1.3,12.8,1.7,0.475309831,0.784974093,0.084618919,0.301029393,0.859547634,-0.230171998,-1.227395021,-0.177206214,0.148779138,-1.124591724,0.467479743,-0.099767792
83,Pau Gasol,1,4.7,9.4,0.502,0.9,2,2.9,0.707,7.8,2.3,0.4,1.1,1.3,12.4,2.4,0.476863504,0.77480837,0.41906716,-0.675839322,-0.330339217,-0.291300414,0.717562865,-0.350090324,-1.656407739,0.764257425,0.467479743,-0.103956647
84,James Johnson,1,4.8,10.1,0.479,1.1,2,2.8,0.707,4.9,3.6,1,1.1,2.3,12.8,2.5,0.474913384,0.776900706,-0.000721487,-0.474777567,-0.113996153,-0.230171998,-0.367125187,0.211783036,-0.109104701,0.764257425,-0.623586085,-0.104826969
85,Cody Zeller,1,4.1,7.1,0.571,0,2.1,3.2,0.679,6.5,1.6,1,0.9,1,10.3,1.8,0.481113451,0.771270037,1.333923071,-1.01585313,-1.303883003,-0.612224599,0.231323394,-0.652637518,-0.109104701,0.386487595,0.794799492,-0.105241044
86,Harrison Barnes,0,7.6,16.2,0.468,1,3.1,3.6,0.861,5,1.5,0.8,0.2,1.3,19.2,0.1,0.474143721,0.789548597,-0.166401434,0.740613402,-0.222167685,0.747882661,-0.329722151,-0.695858546,-0.624872381,-0.935706809,0.467479743,-0.1131948
87,Steven Adams,1,4.7,8.2,0.571,0,2,3.2,0.611,7.7,1.1,1.1,1,1.8,11.3,1.5,0.48171328,0.768598438,1.463044007,-1.272578713,-1.303883003,-0.459403558,0.680159829,-0.868742657,0.148779138,0.57537251,-0.078053171,-0.123922846
88,Richaun Holmes,1,4,7.2,0.558,0.5,1.3,1.8,0.699,5.5,1,0.7,1,1,9.8,1.1,0.479847459,0.779035013,1.061401899,-0.269682745,-0.763025344,-0.688635119,-0.142706969,-0.911963684,-0.88275622,0.57537251,0.794799492,-0.136355131
89,Larry Nance,1,3,5.7,0.526,0.2,0.9,1.3,0.738,5.9,1.5,1.3,0.6,0.9,7.1,1.4,0.477421074,0.778739987,0.539091158,-0.298033061,-1.08753994,-1.101251928,0.006905176,-0.695858546,0.664546817,-0.18016715,0.903906075,-0.138711266
90,Andre Iguodala,1,2.9,5.5,0.528,0.8,0.9,1.3,0.706,4,3.4,1,0.5,0.8,7.6,2.5,0.477381906,0.778739987,0.53065971,-0.298033061,-0.438510748,-1.024841408,-0.703752513,0.12534098,-0.109104701,-0.369052064,1.013012657,-0.141586794
91,Courtney Lee,1,4.2,9.1,0.456,1.4,1.1,1.3,0.867,3.4,2.3,1.1,0.3,0.9,10.8,1.1,0.473861284,0.784368911,-0.227199642,0.242874792,0.210518443,-0.535814079,-0.928170731,-0.350090324,0.148779138,-0.746821894,0.903906075,-0.142446469
92,Eric Gordon,0,5.5,13.5,0.406,3.3,2,2.3,0.84,2.7,2.5,0.6,0.5,1.6,16.2,0.4,0.467494385,0.787534218,-1.597756883,0.547042916,2.265777549,0.28941954,-1.189991985,-0.263648269,-1.14064006,-0.369052064,0.140159995,-0.146521029
93,Victor Oladipo,0,6.1,13.9,0.442,1.9,1.7,2.3,0.753,4.3,2.6,1.2,0.3,1.8,15.9,0.4,0.470833333,0.779321963,-0.879005072,-0.242108496,0.751376102,0.243573227,-0.591543405,-0.220427241,0.406662978,-0.746821894,-0.078053171,-0.150705219
94,Lucas Nogueira,1,1.8,2.7,0.66,0.1,0.8,1.2,0.657,4.3,0.7,0.9,1.6,0.8,4.4,2,0.479485777,0.778115502,0.983545188,-0.358042594,-1.195711472,-1.513868737,-0.591543405,-1.041626767,-0.366988541,1.708681999,1.013012657,-0.151393519
95,Greg Monroe,1,4.8,9,0.533,0,2.2,3,0.741,6.6,2.3,1.1,0.5,1.7,11.7,1.9,0.479311015,0.778099174,0.945925387,-0.35961162,-1.303883003,-0.398275142,0.26872643,-0.350090324,0.148779138,-0.369052064,0.031053412,-0.154047532
96,Maurice Harkless,1,4.1,8.1,0.503,0.9,1,1.6,0.621,4.4,1.1,1.1,0.9,1.1,10,1.5,0.477032494,0.775010734,0.455444321,-0.656393222,-0.330339217,-0.658070911,-0.554140368,-0.868742657,0.148779138,0.386487595,0.685692909,-0.154586935
97,Elfrid Payton,1,5.2,11.1,0.471,0.5,1.8,2.6,0.692,4.7,6.5,1.1,0.5,2.2,12.8,1.7,0.474293713,0.775689223,-0.134113547,-0.591194271,-0.763025344,-0.230171998,-0.441931259,1.465192839,0.148779138,-0.369052064,-0.514479502,-0.158888445
